0.0,0,0,0,10.1796875,0,0,0,269.259735107,0.0455419944255,-0.0126366047503,-0.0176197366094
0.010008,9.9296875,9.3828125,9.75,10.0,267.736022949,255.833282471,260.082977295,269.14755249,0.0169277109528,-0.0819002342784,-0.0107144133354
0.02,10.015625,9.3046875,9.6015625,10.09375,267.810791016,255.110122681,259.853973389,268.929077148,0.0831081522419,0.00834471162712,-0.00102467102673
0.030004,9.9765625,9.28125,9.578125,10.03125,267.877746582,254.735809326,259.82913208,268.687561035,0.00347567014592,-0.0213947757956,-0.015067407455
0.040005,9.9609375,9.28125,9.5703125,9.984375,267.791503906,254.117126465,259.472625732,268.360687256,0.000995078154766,-0.0049575529372,0.0240787849315
0.050008,9.84375,9.3125,9.4609375,10.0625,267.460632324,253.825927734,259.070129395,268.101623535,0.00181272428619,0.0733251907851,0.00471739875912
0.060018,9.84375,9.3203125,9.5703125,9.96875,267.177398682,253.701675415,258.964691162,268.037322998,-0.0233529078597,-0.0356738096904,-0.0110341607791
0.070008,9.8828125,9.265625,9.46875,10.0625,266.871337891,253.309020996,258.47088623,267.73626709,0.06360377365,0.0023456260157,-0.0112272358514
0.080058,9.828125,9.2578125,9.5390625,9.9609375,266.676727295,253.229263306,258.403533936,267.58682251,0.0345489660787,-0.0720193598123,-0.0191215566628
0.090003,9.84375,9.171875,9.4296875,10.015625,266.312164307,252.479888916,257.820220947,267.297576904,0.061806886777,-0.0205290583542,0.0356876204738
0.100003,9.875,9.15625,9.3671875,10.015625,266.33303833,252.125595093,257.453094482,267.22543335,0.0537466654951,0.0476420313428,-0.0161986847429
0.110003,9.8984375,9.109375,9.53125,9.90625,266.295684814,251.518875122,257.421722412,266.957580566,0.000474266320403,-0.0265408402482,0.00692390944953
0.120002,9.84375,9.171875,9.4453125,10.03125,266.067779541,251.093338013,257.025604248,266.701629639,-0.0301638865654,-0.0288433829092,0.00956051481126
0.13001,9.7734375,9.234375,9.46875,9.9765625,265.830688477,251.216278076,257.01272583,266.788482666,-0.0190113004297,-0.00196385707501,-0.0287211445185
0.140048,9.7734375,9.2109375,9.4375,10.015625,265.230987549,250.886260986,256.642333984,266.555389404,0.0924516960935,0.0682249963031,0.0317464573346
0.150008,9.8515625,9.1640625,9.484375,9.96875,265.361572266,250.805892944,256.707397461,266.511260986,0.0898423519603,-0.0509869489232,-0.0341098076258
0.160006,9.8671875,9.1484375,9.5078125,9.9765625,265.298522949,250.402374268,256.666656494,266.449035645,0.0144982505992,-0.103471274456,0.0216232433662
0.170013,9.8828125,9.109375,9.40625,10.0625,265.399932861,250.04083252,256.284881592,266.528259277,0.00126902842341,0.00793738087144,-0.00301953502846
0.180025,9.8671875,9.09375,9.4609375,9.96875,265.452178955,249.761154175,256.227478027,266.533813477,-0.00218423960104,0.0559965740172,-0.0131593980812
0.190003,9.828125,9.1953125,9.546875,9.96875,265.250610352,249.593154907,256.267211914,266.241790771,0.0115939255452,0.0550498641785,0.0421603674741
0.200004,9.828125,9.2734375,9.515625,10.046875,265.359771729,250.007797241,256.390228271,266.581573486,0.0191282174612,-0.0116978703987,-0.0465202888241
0.210028,9.828125,9.2890625,9.5,10.1171875,265.013000488,250.236633301,256.343475342,266.952850342,0.041868858904,-0.0300136043933,0.0242195847473
0.220002,10.3046875,8.6796875,8.9296875,10.5234375,266.566040039,248.469009399,254.459457397,268.662658691,0.0295315518543,-0.0195475493014,-0.0256820937145
0.230002,10.6640625,8.1328125,8.59375,10.75,268.864074707,245.078567505,251.700653076,270.963409424,-0.0415891869003,-0.0666760629301,0.00359327145621
0.24,10.9609375,7.765625,8.15625,11.09375,271.856048584,240.401489258,247.547988892,274.103668213,-0.0791821917382,0.0341920637549,0.0370396155115
0.250009,11.1953125,7.41796875,7.75,11.375,275.291717529,235.901077271,243.066177368,277.813568115,-0.0977875678234,0.109578535074,-0.0402889844842
0.260027,11.34375,7.2109375,7.5859375,11.578125,278.844116211,230.458694458,238.030410767,281.78604126,-0.304791497994,0.0192431762908,0.0475387343701
0.270004,11.4765625,7.05859375,7.32421875,11.7734375,282.338989258,225.971099854,233.28414917,285.664489746,-0.463227197875,-0.0781238076079,-0.0190797152012
0.280019,11.5625,6.93359375,7.26171875,11.8046875,285.932861328,220.446777344,227.975280762,289.536682129,-0.51533627659,0.00169600089097,-0.0109767883739
0.290016,11.6640625,6.8046875,7.44140625,11.796875,288.664398193,216.866882324,225.10647583,292.264587402,-0.662982548714,-0.0364348761608,0.0218332441461
0.3,11.6875,6.94140625,7.48046875,11.875,291.482696533,213.696029663,222.720016479,294.733947754,-0.921425837974,0.00349883370948,0.028335109391
0.310009,11.671875,7.0390625,7.81640625,11.734375,293.611816406,211.50831604,221.498306274,296.723602295,-1.20612530461,-0.148079458425,-0.0259795074647
0.32001,11.5859375,7.1640625,8.0703125,11.625,295.523681641,209.776779175,221.232009888,298.143585205,-1.36734813298,-0.0346696553788,0.0660488384709
0.330003,11.5078125,7.58203125,8.4765625,11.5546875,296.735412598,209.486968994,222.157165527,298.793945312,-1.67155384178,0.0791743880486,0.00156786314388
0.340011,11.28125,7.9921875,8.7265625,11.53125,297.397399902,210.875488281,224.131652832,299.813171387,-1.88915909585,-0.12685440123,-0.00605485068956
0.350013,10.2734375,9.2578125,9.96875,10.671875,294.307312012,216.101730347,229.402160645,297.311035156,-2.01324232539,-0.0979408229682,0.0318073785259
0.360004,9.6484375,10.171875,11.1015625,9.796875,289.862976074,224.492828369,238.634628296,292.225250244,-2.1607623408,0.217248124622,-0.00924666745185
